variable,tipo_dato,grupo,descripcion,fuente
Cve. Municipio,int64,identificador,Clave unica del municipio (INEGI),incidencia_delictiva/Catalogo.xlsx
fecha,datetime64[ns],identificador,"Fecha del mes (primer dia del mes, formato datetime)",Derivada de anio y mes de los CSVs de incidencia
homicidio_doloso,float64,conteo_crudo,"Conteo mensual de incidentes: Homicidio doloso (arma de fuego, arma blanca, otros)",CSVs incidencia delictiva 2015-2025
homicidio_culposo,float64,conteo_crudo,Conteo mensual de incidentes: Homicidio culposo (todas las modalidades),CSVs incidencia delictiva 2015-2025
feminicidio,float64,conteo_crudo,Conteo mensual de incidentes: Feminicidio (todas las modalidades),CSVs incidencia delictiva 2015-2025
lesiones,float64,conteo_crudo,Conteo mensual de incidentes: Lesiones dolosas y culposas,CSVs incidencia delictiva 2015-2025
robo_violento,float64,conteo_crudo,"Conteo mensual de incidentes: Robo con violencia (vehiculo, transeunte, negocio, casa, transportista)",CSVs incidencia delictiva 2015-2025
robo_sin_violencia,float64,conteo_crudo,"Conteo mensual de incidentes: Robo sin violencia, hurto",CSVs incidencia delictiva 2015-2025
violacion_sexual,float64,conteo_crudo,Conteo mensual de incidentes: Violacion simple y equiparada,CSVs incidencia delictiva 2015-2025
secuestro,float64,conteo_crudo,"Conteo mensual de incidentes: Secuestro extorsivo, express y otros",CSVs incidencia delictiva 2015-2025
extorsion,float64,conteo_crudo,Conteo mensual de incidentes: Extorsion (todas las modalidades),CSVs incidencia delictiva 2015-2025
violencia_familiar,float64,conteo_crudo,Conteo mensual de incidentes: Violencia familiar,CSVs incidencia delictiva 2015-2025
otros,float64,conteo_crudo,"Conteo mensual de incidentes: Resto de delitos: narcomenudeo, dano a propiedad, amenazas, fraude, etc.",CSVs incidencia delictiva 2015-2025
POB_TOT,int64,marginacion,Poblacion total del municipio (Censo 2020),marginacion_municipal/Indice de marginacion por municipio 2020.xlsx
ANALF,float64,marginacion,% Poblacion de 15 anios o mas analfabeta,marginacion_municipal/Indice de marginacion por municipio 2020.xlsx
SBASC,float64,marginacion,% Poblacion de 15 anios o mas sin educacion basica,marginacion_municipal/Indice de marginacion por municipio 2020.xlsx
OVSDE,float64,marginacion,% Ocupantes en viviendas particulares sin drenaje ni excusado,marginacion_municipal/Indice de marginacion por municipio 2020.xlsx
OVSEE,float64,marginacion,% Ocupantes en viviendas particulares sin energia electrica,marginacion_municipal/Indice de marginacion por municipio 2020.xlsx
